Id,Model,Price,Age_08_04,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Automatic,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar
16,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,28,5,2002,18739,Petrol,192,0,0,1800,3,4,6,100,1185,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0
17,?TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,3,2002,34000,Petrol,192,1,0,1800,3,4,5,100,1185,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
18,?TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,24,9,2002,21716,Petrol,110,1,0,1600,3,4,5,85,1105,0,0,18,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,24,9,2002,25563,Petrol,110,0,0,1600,3,4,5,19,1065,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
20,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,30,3,2002,64359,Petrol,110,1,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
21,?TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,30,3,2002,67660,Petrol,110,1,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
22,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,29,4,2002,43905,Petrol,110,0,1,1600,3,4,5,100,1170,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
23,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,28,5,2002,56349,Petrol,110,1,0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
24,?TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,5,2002,32220,Petrol,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,29,4,2002,25813,Petrol,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
26,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,25,8,2002,28450,Petrol,110,1,0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
27,?TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,6,2002,34545,Petrol,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,4,2002,41415,Petrol,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,5,2002,44142,Petrol,110,0,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,3,2002,11090,Petrol,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
31,?TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,29,4,2002,9750,Petrol,97,1,0,1400,3,4,5,19,1100,1,1,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,11,2002,35199,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,6,2002,29510,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
34,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,7,2002,32692,Petrol,97,1,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
35,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,11,2002,41000,Petrol,97,1,0,1400,3,4,5,85,1100,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,7,2002,43000,Petrol,97,0,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,8,2002,25000,Petrol,97,0,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,10,2002,10000,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,1,2002,25329,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
40,?TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,27,6,2002,27500,Petrol,97,0,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
41,?TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,11,2002,49059,Petrol,97,0,0,1400,3,4,5,85,1100,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,27,6,2002,44068,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,11,2002,46961,Petrol,97,0,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,27,6,2002,110404,Diesel,90,0,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,22,11,2002,100250,Diesel,90,0,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
46,?TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,23,10,2002,84000,Diesel,90,0,0,2000,5,4,5,234,1270,0,1,3,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,27,6,2002,79375,Diesel,90,1,0,2000,5,4,5,234,1255,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,11,2002,75048,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
49,?TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,11,2002,72215,Diesel,90,1,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,2,2002,64982,Petrol,192,1,0,1800,5,4,6,100,1195,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,11,2002,62636,Diesel,90,1,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
52,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,3,2002,57086,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,7,2002,56000,Petrol,110,1,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,6,2002,49866,Petrol,192,1,0,1800,5,4,5,100,1195,0,1,13,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0
55,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,8,2002,49163,Petrol,110,0,1,1600,5,4,5,100,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
56,?TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,1,2002,45725,Petrol,110,1,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,5,2002,43210,Petrol,97,0,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,7,2002,43000,Petrol,97,0,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
59,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,10,2002,39704,Petrol,110,1,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
60,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,3,2002,38950,Petrol,110,1,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,11,2002,37400,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
62,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,6,2002,37177,Petrol,110,0,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,2,2002,36544,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,3,2002,33511,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,6,2002,32809,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,7,2002,32181,Petrol,110,1,0,1600,5,4,5,19,1075,0,1,12,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,5,2002,30993,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,11,2002,30400,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,22,11,2002,30000,Diesel,110,1,0,2000,5,4,5,234,1275,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,8,2002,29719,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0
71,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,5,2002,29206,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,1,2002,29198,Petrol,97,1,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0
73,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,5,2002,28817,Petrol,110,1,0,1598,5,4,5,85,1130,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0
74,?TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,10,2002,28227,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
75,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,5,2002,28000,Petrol,110,0,0,1600,5,4,5,85,1130,1,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,10,2002,28000,Petrol,110,1,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,2,2002,25266,Petrol,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,6,2002,23489,Petrol,110,0,0,1600,5,4,5,85,1115,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,4,2002,22575,Petrol,110,1,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,3,2002,22000,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,8,2002,20019,Petrol,110,1,1,16000,5,4,5,100,1180,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,4,2002,20000,Petrol,110,1,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
83,?TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,8,2002,17003,Petrol,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,2,2002,16238,Petrol,110,1,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
85,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,8,2002,15414,Petrol,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,5,2002,8537,Petrol,110,1,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
87,?TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,3,2002,7000,Petrol,97,1,0,1400,5,4,5,85,1100,0,0,12,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,20,1,2003,66966,Diesel,90,1,0,2000,3,4,5,210,1245,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2,2003,51884,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,19,2,2003,50005,Diesel,110,1,0,2000,3,4,5,234,1265,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,1,2003,48110,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
92,?TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,20,1,2003,37500,Diesel,90,1,0,2000,3,4,5,234,1260,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,16,5,2003,34472,Diesel,90,1,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,1,2003,33329,Petrol,97,1,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,1,2003,31850,Petrol,110,0,0,1600,3,4,5,85,1120,0,1,20,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,17,4,2003,30351,Diesel,90,1,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
97,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2,2003,29435,Petrol,97,1,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2,2003,25948,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,10,2003,24500,Petrol,110,1,0,1600,3,4,5,85,1120,0,0,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,3,2003,23902,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0
101,?TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,1,2003,23175,Petrol,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
102,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,2,2003,19200,Petrol,97,1,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,8,2003,18000,Petrol,71,0,0,1400,3,4,5,85,1125,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,10,2003,16123,Petrol,110,1,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,10,2003,14635,Petrol,110,1,1,1600,3,4,5,100,1155,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
106,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,2,2003,13748,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
107,?TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,7,2003,11500,Petrol,110,1,0,1600,3,4,5,69,1045,0,0,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,4,2003,10000,Petrol,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
109,?TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,1,2003,7187,Petrol,110,1,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
111,?TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,32500,4,5,2004,1,Diesel,116,0,0,2000,5,4,5,283,1480,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,4,5,2004,4000,Diesel,116,1,0,2000,5,4,5,283,1480,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31275,4,5,2004,1500,Diesel,116,1,0,2000,5,4,5,283,1480,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
114,?TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,1,2004,13253,Diesel,116,1,0,2000,5,4,5,234,1320,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
